Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitOn,Chrome 88.0.4324.96,,,2021-02-22 13:13:25,2021-02-22 13:16:02,2m - 36.224s,PASSED
,,,,,,,
Test Cases/BrowserProductElink,Chrome 88.0.4324.96,,,2021-02-22 13:13:27,2021-02-22 13:14:04,37.148s,PASSED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-22 13:13:27,2021-02-22 13:13:40,12.738s,PASSED
maximizeWindow(),Chrome 88.0.4324.96,,,2021-02-22 13:13:40,2021-02-22 13:13:42,2.188s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Products""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 13:13:42,2021-02-22 13:13:43,0.809s,PASSED
"mouseOver(findTestObject(""HomePage/ProductList/Products""))",Chrome 88.0.4324.96,,,2021-02-22 13:13:43,2021-02-22 13:13:44,0.712s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/Bearings""), 10000)",Chrome 88.0.4324.96,,,2021-02-22 13:13:44,2021-02-22 13:13:44,0.349s,PASSED
"click(findTestObject(""HomePage/ProductList/Bearings""))",Chrome 88.0.4324.96,,,2021-02-22 13:13:44,2021-02-22 13:13:47,2.979s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/SmartInterchage""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 13:13:47,2021-02-22 13:13:49,1.436s,PASSED
"click(findTestObject(""HomePage/ProductList/SmartInterchage""))",Chrome 88.0.4324.96,,,2021-02-22 13:13:49,2021-02-22 13:13:49,0.430s,PASSED
switchToWindowIndex(1),Chrome 88.0.4324.96,,,2021-02-22 13:13:49,2021-02-22 13:13:49,0.031s,PASSED
"waitForElementClickable(findTestObject(""HomePage/ProductList/RegalIcon""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 13:13:49,2021-02-22 13:14:00,10.409s,PASSED
"click(findTestObject(""HomePage/ProductList/RegalIcon""))",Chrome 88.0.4324.96,,,2021-02-22 13:14:00,2021-02-22 13:14:03,3.870s,PASSED
closeWindowIndex(1),Chrome 88.0.4324.96,,,2021-02-22 13:14:03,2021-02-22 13:14:04,0.170s,PASSED
closeBrowser(),Chrome 88.0.4324.96,,,2021-02-22 13:14:04,2021-02-22 13:14:04,0.755s,PASSED
,,,,,,,
Test Cases/BrowserCatalogGuest,Chrome 88.0.4324.96,,,2021-02-22 13:14:04,2021-02-22 13:15:06,1m - 2.095s,PASSED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-22 13:14:05,2021-02-22 13:14:15,10.868s,PASSED
maximizeWindow(),Chrome 88.0.4324.96,,,2021-02-22 13:14:15,2021-02-22 13:14:18,2.167s,PASSED
"sendKeys(findTestObject(""HomePage/Search_area""), ""severe duty motors"")",Chrome 88.0.4324.96,,,2021-02-22 13:14:18,2021-02-22 13:14:20,2.808s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Search_Button""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 13:14:20,2021-02-22 13:14:21,0.337s,PASSED
"click(findTestObject(""HomePage/Search_Button""))",Chrome 88.0.4324.96,,,2021-02-22 13:14:21,2021-02-22 13:14:21,0.429s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/Brand_Filter""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 13:14:21,2021-02-22 13:14:26,4.560s,PASSED
"click(findTestObject(""ProductListPage/Brand_Filter""))",Chrome 88.0.4324.96,,,2021-02-22 13:14:26,2021-02-22 13:14:30,3.955s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/ProductOne""), 30000)",Chrome 88.0.4324.96,,,2021-02-22 13:14:30,2021-02-22 13:14:31,1.156s,PASSED
"click(findTestObject(""ProductListPage/ProductOne""))",Chrome 88.0.4324.96,,,2021-02-22 13:14:31,2021-02-22 13:14:32,0.816s,PASSED
"scrollToPosition(500, 0)",Chrome 88.0.4324.96,,,2021-02-22 13:14:32,2021-02-22 13:14:32,0.037s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/Product_Two""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 13:14:32,2021-02-22 13:14:33,1.696s,PASSED
"click(findTestObject(""ProductListPage/Product_Two""))",Chrome 88.0.4324.96,,,2021-02-22 13:14:33,2021-02-22 13:14:34,0.437s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/CompareButton""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 13:14:34,2021-02-22 13:14:35,1.317s,PASSED
"click(findTestObject(""ProductListPage/CompareButton""))",Chrome 88.0.4324.96,,,2021-02-22 13:14:35,2021-02-22 13:14:38,3.000s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/ProductOnCompareList""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 13:14:38,2021-02-22 13:14:39,0.819s,PASSED
"click(findTestObject(""ProductListPage/ProductOnCompareList""))",Chrome 88.0.4324.96,,,2021-02-22 13:14:39,2021-02-22 13:14:44,4.925s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/RemoveFromCompareList""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 13:14:44,2021-02-22 13:14:45,0.878s,PASSED
"scrollToPosition(0, 500)",Chrome 88.0.4324.96,,,2021-02-22 13:14:45,2021-02-22 13:14:45,0.046s,PASSED
"click(findTestObject(""ProductListPage/RemoveFromCompareList""))",Chrome 88.0.4324.96,,,2021-02-22 13:14:45,2021-02-22 13:14:45,0.561s,PASSED
"scrollToPosition(500, 0)",Chrome 88.0.4324.96,,,2021-02-22 13:14:45,2021-02-22 13:14:45,0.024s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/WhereToBuyButton""), 5000)",Chrome 88.0.4324.96,,,2021-02-22 13:14:45,2021-02-22 13:14:47,1.398s,PASSED
"click(findTestObject(""ProductListPage/WhereToBuyButton""))",Chrome 88.0.4324.96,,,2021-02-22 13:14:47,2021-02-22 13:15:06,18.938s,PASSED
closeBrowser(),Chrome 88.0.4324.96,,,2021-02-22 13:15:06,2021-02-22 13:15:06,0.727s,PASSED
,,,,,,,
Test Cases/HVAC_Motor_Compare,Chrome 88.0.4324.96,Industries-Grain Handling-Motor-Hvac motor-Fan and blower motor-Select different motors-Compare-Select Show differences-Homepage,,2021-02-22 13:15:06,2021-02-22 13:16:02,55.262s,PASSED
openBrowser(RegalURL),Chrome 88.0.4324.96,,,2021-02-22 13:15:07,2021-02-22 13:15:18,11.336s,PASSED
maximizeWindow(),Chrome 88.0.4324.96,,,2021-02-22 13:15:18,2021-02-22 13:15:20,2.158s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Industries/industries""), 30000)",Chrome 88.0.4324.96,,,2021-02-22 13:15:20,2021-02-22 13:15:21,0.751s,PASSED
"mouseOver(findTestObject(""HomePage/Industries/industries""))",Chrome 88.0.4324.96,,,2021-02-22 13:15:21,2021-02-22 13:15:22,0.774s,PASSED
"click(findTestObject(""HomePage/Industries/GrainHandling""))",Chrome 88.0.4324.96,,,2021-02-22 13:15:22,2021-02-22 13:15:26,3.963s,PASSED
delay(5),Chrome 88.0.4324.96,,,2021-02-22 13:15:26,2021-02-22 13:15:31,5.025s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Industries/MotorLink""), 30000)",Chrome 88.0.4324.96,,,2021-02-22 13:15:31,2021-02-22 13:15:31,0.346s,PASSED
"click(findTestObject(""HomePage/Industries/MotorLink""))",Chrome 88.0.4324.96,,,2021-02-22 13:15:31,2021-02-22 13:15:35,4.366s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Industries/HVAC_Motor""), 30000)",Chrome 88.0.4324.96,,,2021-02-22 13:15:35,2021-02-22 13:15:36,0.879s,PASSED
"click(findTestObject(""HomePage/Industries/HVAC_Motor""))",Chrome 88.0.4324.96,,,2021-02-22 13:15:36,2021-02-22 13:15:42,5.683s,PASSED
delay(4),Chrome 88.0.4324.96,,,2021-02-22 13:15:42,2021-02-22 13:15:46,4.017s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Industries/FanAndBowler""), 30000)",Chrome 88.0.4324.96,,,2021-02-22 13:15:46,2021-02-22 13:15:46,0.322s,PASSED
"click(findTestObject(""HomePage/Industries/FanAndBowler""))",Chrome 88.0.4324.96,,,2021-02-22 13:15:46,2021-02-22 13:15:52,5.338s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Industries/MotorOne""), 30000)",Chrome 88.0.4324.96,,,2021-02-22 13:15:52,2021-02-22 13:15:53,1.024s,PASSED
"click(findTestObject(""HomePage/Industries/MotorOne""))",Chrome 88.0.4324.96,,,2021-02-22 13:15:53,2021-02-22 13:15:53,0.732s,PASSED
"scrollToPosition(500, 0)",Chrome 88.0.4324.96,,,2021-02-22 13:15:53,2021-02-22 13:15:53,0.025s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Industries/MotorTwo""), 30000)",Chrome 88.0.4324.96,,,2021-02-22 13:15:53,2021-02-22 13:15:55,1.652s,PASSED
"click(findTestObject(""HomePage/Industries/MotorTwo""))",Chrome 88.0.4324.96,,,2021-02-22 13:15:55,2021-02-22 13:15:56,0.497s,PASSED
"waitForElementClickable(findTestObject(""ProductListPage/CompareButton""), 30000)",Chrome 88.0.4324.96,,,2021-02-22 13:15:56,2021-02-22 13:15:57,1.240s,PASSED
"click(findTestObject(""ProductListPage/CompareButton""))",Chrome 88.0.4324.96,,,2021-02-22 13:15:57,2021-02-22 13:16:00,2.988s,PASSED
"waitForElementClickable(findTestObject(""HomePage/Industries/ShowDifferenceOnly""), 30000)",Chrome 88.0.4324.96,,,2021-02-22 13:16:00,2021-02-22 13:16:01,0.800s,PASSED
"click(findTestObject(""HomePage/Industries/ShowDifferenceOnly""))",Chrome 88.0.4324.96,,,2021-02-22 13:16:01,2021-02-22 13:16:01,0.452s,PASSED
closeBrowser(),Chrome 88.0.4324.96,,,2021-02-22 13:16:01,2021-02-22 13:16:02,0.708s,PASSED
